"lon","lat"
-121.93,36.46
-121.93,36.459
-121.93,36.458
-121.93,36.457
-121.93,36.456
-121.93,36.454
-121.93,36.454
-121.93,36.453
-121.93,36.448
-121.93,36.448
-121.93,36.447
-121.93,36.447
-121.93,36.446
-121.93,36.445
-121.93,36.444
-121.93,36.442
-121.93,36.44
-121.93,36.439
-121.92,36.439
-121.92,36.438
-121.92,36.437
-121.92,36.437
-121.92,36.436
-121.92,36.434
-121.92,36.432
-121.92,36.432
-121.92,36.43
-121.92,36.429
-121.92,36.429
-121.92,36.428
-121.92,36.427
-121.92,36.426
-121.92,36.422
-121.92,36.42
-121.92,36.418
-121.92,36.417
-121.92,36.417
-121.92,36.416
-121.92,36.415
-121.92,36.415
-121.92,36.414
-121.92,36.411
-121.92,36.41
-121.92,36.409
-121.92,36.408
-121.92,36.407
-121.91,36.407
-121.91,36.402
-121.91,36.402
-121.91,36.402
-121.91,36.401
-121.91,36.401
-121.91,36.399
-121.91,36.399
-121.91,36.399
-121.91,36.398
-121.91,36.396
-121.91,36.395
-121.91,36.393
-121.9,36.392
-121.91,36.392
-121.91,36.391
-121.91,36.389
-121.9,36.388
-121.9,36.387
-121.9,36.382
-121.9,36.381
-121.91,36.38
-121.91,36.379
-121.91,36.378
-121.91,36.377
-121.91,36.377
-121.91,36.377
-121.91,36.375
-121.91,36.374
-121.91,36.373
-121.91,36.372
-121.91,36.371
-121.91,36.371
-121.9,36.37
-121.9,36.368
-121.9,36.367
-121.9,36.364
-121.9,36.364
-121.91,36.363
-121.91,36.363
-121.91,36.362
-121.91,36.361
-121.91,36.36
-121.91,36.36
-121.91,36.359
-121.91,36.357
-121.91,36.356
-121.91,36.356
-121.91,36.356
-121.91,36.354
-121.91,36.353
-121.9,36.352
-121.9,36.352
-121.9,36.352
-121.9,36.349
-121.9,36.347
-121.9,36.346
-121.9,36.345
-121.9,36.344
-121.9,36.343
-121.9,36.342
-121.89,36.341
-121.89,36.337
-121.89,36.337
-121.89,36.335
-121.89,36.332
-121.9,36.331
-121.9,36.33
-121.9,36.328
-121.9,36.327
-121.9,36.325
-121.9,36.324
-121.9,36.319
-121.9,36.317
-121.9,36.316
-121.9,36.313
-121.9,36.313
-121.9,36.312
-121.9,36.31
-121.9,36.309
-121.9,36.308
-121.9,36.309
-121.9,36.309
-121.9,36.309
-121.91,36.308
-121.91,36.307
-121.9,36.306
-121.9,36.304
-121.9,36.304
-121.9,36.304
-121.9,36.304
-121.9,36.303
-121.9,36.303
-121.9,36.303
-121.9,36.303
-121.9,36.303
-121.89,36.303
-121.89,36.303
-121.89,36.303
-121.89,36.302
-121.89,36.302
-121.89,36.301
-121.89,36.299
-121.88,36.296
-121.88,36.295
-121.88,36.294
-121.88,36.293
-121.88,36.293
-121.88,36.293
-121.88,36.292
-121.88,36.292
-121.88,36.291
-121.88,36.289
-121.88,36.288
-121.87,36.288
-121.87,36.287
-121.87,36.287
-121.87,36.286
-121.87,36.286
-121.87,36.285
-121.87,36.284
-121.87,36.283
-121.87,36.283
-121.86,36.279
-121.86,36.279
-121.86,36.279
-121.86,36.28
-121.86,36.28
-121.85,36.278
-121.85,36.278
-121.85,36.277
-121.85,36.277
-121.85,36.276
-121.85,36.276
-121.85,36.275
-121.85,36.274
-121.85,36.273
-121.85,36.273
-121.85,36.272
-121.85,36.272
-121.85,36.271
-121.85,36.27
-121.85,36.27
-121.85,36.268
-121.85,36.268
-121.84,36.267
-121.84,36.264
-121.84,36.263
-121.84,36.262
-121.84,36.262
-121.84,36.261
-121.84,36.259
-121.84,36.258
-121.84,36.257
-121.84,36.256
-121.84,36.255
-121.84,36.254
-121.84,36.253
-121.84,36.249
-121.84,36.248
-121.83,36.247
-121.83,36.247
-121.83,36.245
-121.83,36.244
-121.83,36.242
-121.83,36.241
-121.82,36.241
-121.82,36.24
-121.82,36.24
-121.82,36.24
-121.82,36.239
-121.82,36.239
-121.82,36.238
-121.82,36.237
-121.82,36.236
-121.81,36.234
-121.81,36.234
-121.81,36.233
-121.81,36.233
-121.81,36.233
-121.81,36.232
-121.81,36.232
-121.81,36.232
-121.81,36.232
-121.81,36.233
-121.8,36.233
-121.8,36.233
-121.8,36.233
-121.8,36.233
-121.8,36.233
-121.79,36.232
-121.79,36.232
-121.79,36.232
-121.79,36.231
-121.79,36.231
-121.79,36.23
-121.79,36.23
-121.79,36.229
-121.79,36.228
-121.79,36.228
-121.79,36.228
-121.79,36.227
-121.78,36.228
-121.78,36.227
-121.78,36.227
-121.78,36.227
-121.78,36.225
-121.78,36.225
-121.77,36.223
-121.77,36.223
-121.77,36.223
-121.77,36.221
-121.77,36.221
-121.77,36.22
-121.77,36.219
-121.77,36.219
-121.76,36.217
-121.76,36.217
-121.76,36.216
-121.76,36.215
-121.76,36.214
-121.76,36.213
-121.76,36.212
-121.75,36.211
-121.75,36.21
-121.75,36.21
-121.75,36.21
-121.75,36.21
-121.75,36.209
-121.75,36.208
-121.74,36.208
-121.74,36.206
-121.74,36.206
-121.74,36.205
-121.74,36.204
-121.74,36.204
-121.74,36.203
-121.74,36.203
-121.74,36.203
-121.73,36.201
-121.73,36.2
-121.73,36.199
-121.73,36.199
-121.73,36.199
-121.73,36.198
-121.72,36.198
-121.72,36.198
-121.72,36.197
-121.72,36.196
-121.72,36.196
-121.72,36.195
-121.72,36.195
-121.72,36.193
-121.72,36.193
-121.72,36.192
-121.72,36.191
-121.71,36.191
-121.71,36.19
-121.71,36.19
-121.71,36.19
-121.71,36.188
-121.71,36.185
-121.71,36.184
-121.71,36.183
-121.71,36.183
-121.71,36.182
-121.7,36.182
-121.7,36.181
-121.7,36.179
-121.7,36.177
-121.7,36.175
-121.7,36.175
-121.7,36.174
-121.7,36.173
-121.69,36.171
-121.69,36.171
-121.69,36.169
-121.69,36.168
-121.69,36.168
-121.69,36.168
-121.69,36.167
-121.69,36.167
-121.68,36.165
-121.68,36.165
-121.68,36.165
-121.68,36.165
-121.68,36.164
-121.68,36.163
-121.68,36.162
-121.68,36.161
-121.68,36.159
-121.67,36.157
-121.67,36.156
-121.67,36.154
-121.67,36.154
-121.67,36.153
-121.67,36.152
-121.67,36.151
-121.67,36.151
-121.67,36.15
-121.67,36.15
-121.66,36.148
-121.66,36.148
-121.66,36.144
-121.66,36.143
-121.66,36.142
-121.66,36.139
-121.66,36.138
-121.66,36.138
-121.65,36.137
-121.65,36.136
-121.65,36.135
-121.65,36.133
-121.65,36.133
-121.65,36.132
-121.65,36.132
-121.65,36.13
-121.65,36.129
-121.65,36.128
-121.65,36.127
-121.65,36.127
-121.65,36.126
-121.65,36.126
-121.65,36.126
-121.64,36.125
-121.64,36.124
-121.64,36.124
-121.64,36.124
-121.64,36.123
-121.64,36.122
-121.64,36.122
-121.64,36.121
-121.63,36.119
-121.63,36.117
-121.63,36.117
-121.63,36.116
-121.63,36.115
-121.63,36.114
-121.63,36.113
-121.63,36.112
-121.63,36.111
-121.63,36.111
-121.63,36.109
-121.63,36.108
-121.63,36.106
-121.63,36.106
-121.63,36.105
-121.62,36.102
-121.62,36.101
-121.62,36.1
-121.62,36.096
-121.62,36.096
-121.62,36.094
-121.62,36.093
-121.62,36.092
-121.62,36.091
-121.62,36.087
-121.62,36.086
-121.62,36.086
-121.62,36.086
-121.62,36.084
-121.62,36.084
-121.62,36.082
-121.62,36.081
-121.61,36.079
-121.61,36.079
-121.61,36.077
-121.61,36.076
-121.61,36.076
-121.61,36.076
-121.61,36.075
-121.61,36.074
-121.61,36.072
-121.61,36.072
-121.61,36.071
-121.61,36.071
-121.6,36.069
-121.6,36.069
-121.6,36.069
-121.6,36.068
-121.6,36.068
-121.6,36.067
-121.6,36.066
-121.6,36.065
-121.59,36.063
-121.59,36.063
-121.59,36.062
-121.59,36.057
-121.59,36.056
-121.59,36.053
-121.59,36.053
-121.59,36.052
-121.59,36.052
-121.59,36.051
-121.59,36.05
-121.59,36.048
-121.59,36.048
-121.59,36.045
-121.59,36.045
-121.59,36.044
-121.59,36.044
-121.59,36.042
-121.58,36.042
-121.58,36.04
-121.58,36.038
-121.58,36.037
-121.58,36.036
-121.58,36.035
-121.58,36.035
-121.58,36.033
-121.58,36.032
-121.58,36.031
-121.58,36.03
-121.58,36.029
-121.58,36.028
-121.58,36.027
-121.58,36.026
-121.58,36.025
-121.58,36.025
-121.58,36.024
-121.58,36.024
-121.57,36.022
-121.57,36.02
-121.57,36.02
-121.57,36.019
-121.57,36.019
-121.57,36.018
-121.56,36.019
-121.56,36.019
-121.56,36.019
-121.56,36.019
-121.56,36.018
-121.56,36.019
-121.55,36.018
-121.55,36.019
-121.55,36.017
-121.55,36.017
-121.55,36.017
-121.55,36.017
-121.55,36.016
-121.55,36.016
-121.54,36.015
-121.54,36.015
-121.54,36.014
-121.54,36.014
-121.53,36.013
-121.53,36.013
-121.53,36.013
-121.53,36.012
-121.53,36.012
-121.53,36.012
-121.53,36.011
-121.53,36.011
-121.53,36.009
-121.53,36.009
-121.53,36.008
-121.52,36.008
-121.52,36.008
-121.52,36.007
-121.52,36.008
-121.52,36.007
-121.52,36.006
-121.52,36.006
-121.52,36.006
-121.52,36.006
-121.51,36.005
-121.51,36.005
-121.51,36.004
-121.51,36.003
-121.51,36.003
-121.51,36.002
-121.51,36.001
-121.51,36
-121.5,36
-121.5,36
NaN,NaN
-121.11,37
-121.11,36.997
-121.11,36.99
-121.11,36.985
-121.12,36.981
-121.12,36.979
-121.13,36.976
-121.14,36.978
-121.14,36.983
-121.13,36.989
-121.13,36.994
